epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
99,114.336,2.05505,1.44074,0.00397,0.7595,0.81096,0.82939,0.31276,2.1787,0.94689,0.00397,0.000271611,0.000271611,0.000271611
100,115.4,2.0734,1.29755,0.00368,0.76842,0.77699,0.83173,0.31831,2.17802,0.92959,0.00391,0.000266535,0.000266535,0.000266535
101,116.541,2.14835,1.37388,0.00394,0.78085,0.76354,0.82486,0.32129,2.14381,0.93201,0.00378,0.00026146,0.00026146,0.00026146
102,117.574,2.0823,1.33086,0.00354,0.77642,0.7508,0.82464,0.32636,2.14064,0.9365,0.00371,0.000256385,0.000256385,0.000256385
103,118.606,2.06259,1.43973,0.004,0.75415,0.77458,0.81733,0.3212,2.14479,0.95226,0.00382,0.000251309,0.000251309,0.000251309
104,119.633,2.06376,1.33542,0.00366,0.76049,0.76613,0.80785,0.31394,2.14735,0.98284,0.00391,0.000246234,0.000246234,0.000246234
105,120.672,2.02908,1.41628,0.00408,0.74906,0.74392,0.78781,0.3038,2.19915,0.96093,0.00408,0.000241158,0.000241158,0.000241158
106,121.799,2.07413,1.31691,0.00382,0.72701,0.74202,0.76973,0.29379,2.21802,0.96771,0.00418,0.000236083,0.000236083,0.000236083
107,122.849,2.06555,1.34121,0.00413,0.73603,0.75896,0.7797,0.3005,2.22469,0.94787,0.00424,0.000231008,0.000231008,0.000231008
108,123.882,2.04526,1.37546,0.00405,0.74039,0.77087,0.78922,0.3088,2.21428,0.93397,0.00416,0.000225932,0.000225932,0.000225932
109,124.932,2.00683,1.39764,0.00389,0.72477,0.78066,0.78749,0.30958,2.19851,0.94944,0.00405,0.000220857,0.000220857,0.000220857
110,125.959,2.07903,1.35106,0.00361,0.73844,0.77169,0.79004,0.30893,2.19011,0.94458,0.004,0.000215781,0.000215781,0.000215781
111,127.011,2.04718,1.31431,0.00361,0.7527,0.73844,0.79333,0.31755,2.15581,0.93725,0.00388,0.000210706,0.000210706,0.000210706
112,128.158,2.09325,1.30762,0.00373,0.73802,0.75158,0.77596,0.31485,2.15092,0.94242,0.00383,0.000205631,0.000205631,0.000205631
113,129.305,1.99222,1.34891,0.00355,0.73032,0.75835,0.77569,0.31391,2.16353,0.93898,0.00389,0.000200555,0.000200555,0.000200555
114,130.395,1.98589,1.33524,0.00368,0.76211,0.75973,0.7882,0.31392,2.17241,0.94314,0.00395,0.00019548,0.00019548,0.00019548
115,131.502,2.1118,1.31064,0.00366,0.79123,0.75449,0.81892,0.31526,2.18447,0.94196,0.00395,0.000190404,0.000190404,0.000190404
116,132.581,2.08452,1.35587,0.00374,0.81575,0.76302,0.84053,0.31463,2.19059,0.93893,0.00393,0.000185329,0.000185329,0.000185329
117,133.672,2.08362,1.30944,0.0037,0.79584,0.77222,0.82587,0.31438,2.20224,0.91763,0.00394,0.000180254,0.000180254,0.000180254
